APPENDIX B

473 file names and associated URLs for fake Flash updates found in AutoFocus:

(Read: Date -- File name -- URL)

2018-06-11 -- AdobeFlashPlayer__a32641zm7tw3y1c8.exe -- 35[.]200[.]233[.]167/flashplayer_down.php?clickid=a32641zm7tw3y1c8
2018-06-11 -- AdobeFlashPlayer__cbab41zoca6febc6.exe -- 35[.]200[.]233[.]167/flashplayer_down.php?clickid=cbab41zoca6febc6
2018-06-11 -- AdobeFlashPlayer__0c206vcqddv8n6d6.exe -- 35[.]200[.]233[.]167/flashplayer_down.php?clickid=0c206vcqddv8n6d6
2018-06-11 -- AdobeFlashPlayer__b24b9vc1nbg8nb20.exe -- 35[.]200[.]233[.]167/flashplayer_down.php?clickid=b24b9vc1nbg8nb20
2018-06-11 -- AdobeFlashPlayer__f531f6ja61ni4b3c.exe -- 35[.]200[.]233[.]167/flashplayer_down.php?clickid=f531f6ja61ni4b3c
2018-06-11 -- AdobeFlashPlayer__f2cdd9lntk2dz2b5.exe -- 35[.]185[.]11[.]6/flashplayer_down.php?clickid=f2cdd9lntk2dz2b5
2018-06-11 -- AdobeFlashPlayer__c80589l8phe6of9d.exe -- 35[.]185[.]11[.]6/flashplayer_down.php?clickid=c80589l8phe6of9d
2018-06-11 -- AdobeFlashPlayer__62c859l37hqi4e8e.exe -- 35[.]185[.]11[.]6/flashplayer_down.php?clickid=62c859l37hqi4e8e
2018-06-11 -- AdobeFlashPlayer__0f63b9l3vuqble0f.exe -- 35[.]185[.]11[.]6/flashplayer_down.php?clickid=0f63b9l3vuqble0f
2018-06-11 -- AdobeFlashPlayer__047819lkt1mblbd0.exe -- 35[.]185[.]11[.]6/flashplayer_down.php?clickid=047819lkt1mblbd0
2018-06-11 -- AdobeFlashPlayer__bd7809l15gmdz6f4.exe -- 35[.]185[.]11[.]6/flashplayer_down.php?clickid=bd7809l15gmdz6f4
2018-06-11 -- AdobeFlashPlayer__503d4ft1zp2bl73d.exe -- 35[.]185[.]11[.]6/flashplayer_down.php?clickid=503d4ft1zp2bl73d
2018-06-11 -- AdobeFlashPlayer__0f118ftx9sy0a13.exe -- 35[.]185[.]11[.]6/flashplayer_down.php?clickid=0f118ftx9sy0a13
2018-06-11 -- AdobeFlashPlayer__3f9a9ftocci6ode5.exe -- 35[.]185[.]11[.]6/flashplayer_down.php?clickid=3f9a9ftocci6ode5
2018-06-11 -- AdobeFlashPlayer__0c23a3zqda06o903.exe -- 35[.]185[.]11[.]6/flashplayer_down.php?clickid=0c23a3zqda06o903
2018-06-11 -- AdobeFlashPlayer__261b93zqde8vrac5.exe -- 35[.]185[.]11[.]6/flashplayer_down.php?clickid=261b93zqde8vrac5
2018-06-11 -- AdobeFlashPlayer__575c93znty9i4ca4.exe -- 35[.]185[.]11[.]6/flashplayer_down.php?clickid=575c93znty9i4ca4
2018-06-11 -- AdobeFlashPlayer__e53243znt46fe1b9.exe -- 35[.]185[.]11[.]6/flashplayer_down.php?clickid=e53243znt46fe1b9
2018-06-11 -- AdobeFlashPlayer__8acab3z1z46wj840.exe -- 35[.]185[.]11[.]6/flashplayer_down.php?clickid=8acab3z1z46wj840
2018-06-12 -- AdobeFlashPlayer__bf1af3zfvd56ofa4.exe -- 35[.]231[.]233[.]238/flashplayer_down.php?clickid=bf1af3zfvd56ofa4
2018-06-12 -- AdobeFlashPlayer__b932c3zwhsc3ye89.exe -- 35[.]231[.]233[.]238/flashplayer_down.php?clickid=b932c3zwhsc3ye89
2018-06-12 -- AdobeFlashPlayer__bc2313zwhsldz0b9.exe -- 35[.]231[.]233[.]238/flashplayer_down.php?clickid=bc2313zwhsldz0b9
2018-06-12 -- AdobeFlashPlayer__065a03z157swj74a.exe -- 35[.]231[.]233[.]238/flashplayer_down.php?clickid=065a03z157swj74a
2018-06-12 -- AdobeFlashPlayer__e064bb7a3h90f02.exe -- 35[.]231[.]233[.]238/flashplayer_down.php?clickid=e064bb7a3h90f02
2018-06-12 -- AdobeFlashPlayer__092aeb7cij28ne7e.exe -- 35[.]231[.]233[.]238/flashplayer_down.php?clickid=092aeb7cij28ne7e
2018-06-12 -- AdobeFlashPlayer__9d57cb78ra5wj814.exe -- 35[.]231[.]233[.]238/flashplayer_down.php?clickid=9d57cb78ra5wj814
2018-06-12 -- AdobeFlashPlayer__0c1b4b74k15wjadc.exe -- 35[.]231[.]233[.]238/flashplayer_down.php?clickid=0c1b4b74k15wjadc
2018-06-12 -- AdobeFlashPlayer__ca723b7irxrfe65b.exe -- 35[.]231[.]233[.]238/flashplayer_down.php?clickid=ca723b7irxrfe65b
2018-06-12 -- AdobeFlashPlayer__19583b7ydp2i41c8.exe -- 35[.]231[.]233[.]238/flashplayer_down.php?clickid=19583b7ydp2i41c8
2018-06-12 -- AdobeFlashPlayer__ead06b7b74kdz296.exe -- 35[.]231[.]233[.]238/flashplayer_down.php?clickid=ead06b7b74kdz296
2018-06-12 -- AdobeFlashPlayer__4cd77b71n8rdz481.exe -- 35[.]231[.]233[.]238/flashplayer_down.php?clickid=4cd77b71n8rdz481
2018-06-12 -- AdobeFlashPlayer__e18a3b7sc3z8ndb0.exe -- 35[.]231[.]233[.]238/flashplayer_down.php?clickid=e18a3b7sc3z8ndb0
2018-06-12 -- AdobeFlashPlayer__43ffeb7xrnt8n836.exe -- 35[.]231[.]233[.]238/flashplayer_down.php?clickid=43ffeb7xrnt8n836
2018-06-12 -- AdobeFlashPlayer__63891e2a3b4i49e8.exe -- 35[.]231[.]233[.]238/flashplayer_down.php?clickid=63891e2a3b4i49e8
2018-06-12 -- AdobeFlashPlayer__0ace2e252ydbl3b9.exe -- 35[.]231[.]233[.]238/flashplayer_down.php?clickid=0ace2e252ydbl3b9
2018-06-12 -- AdobeFlashPlayer__86c55e2ir5mfed47.exe -- 35[.]231[.]233[.]238/flashplayer_down.php?clickid=86c55e2ir5mfed47
2018-06-12 -- AdobeFlashPlayer__9d16choa5a8vr867.exe -- flashplayeroffer[.]ml/flashplayer_down.php?clickid=9d16choa5a8vr867
2018-06-12 -- AdobeFlashPlayer__146c5hoibzw6o79e.exe -- flashplayeroffer[.]tk/flashplayer_down.php?clickid=146c5hoibzw6o79e
2018-06-12 -- AdobeFlashPlayer__afdb8hoqqsyi43a8.exe -- flashplayeroffer[.]tk/flashplayer_down.php?clickid=afdb8hoqqsyi43a8
2018-06-12 -- AdobeFlashPlayer__148a48wj6zw0aba.exe -- flashplayeroffer[.]tk/flashplayer_down.php?clickid=148a48wj6zw0ab
2018-06-13 -- AdobeFlashPlayer__bed108wsl9li49e3.exe -- flashplayeroffer[.]tk/flashplayer_down.php?clickid=bed108wsl9li49e3
2018-06-13 -- AdobeFlashPlayer__97818scfnghdz339.exe -- flashplayeroffer[.]tk/flashplayer_down.php?clickid=97818scfnghdz339
2018-06-13 -- AdobeFlashPlayer__d84c9scqezw8ncae.exe -- flashplayeroffer[.]gq/flashplayer_down.php?clickid=d84c9scqezw8ncae
2018-06-13 -- AdobeFlashPlayer__6a96cmygxqdfe5fe.exe -- flashplayeroffer[.]gq/flashplayer_down.php?clickid=6a96cmygxqdfe5fe
2018-07-16 -- AdobeFlashPlayer__15f7bq5h9scdz2f8.exe -- 18[.]206[.]37[.]67/flashplayer_down.php?clickid=15f7bq5h9scdz2f8
2018-07-16 -- AdobeFlashPlayer__306b8h9fvy9vrea8.exe -- 18[.]206[.]37[.]67/flashplayer_down.php?clickid=306b8h9fvy9vrea8
2018-07-16 -- AdobeFlashPlayer__40a5ah94pzwwj1c5.exe -- 18[.]206[.]37[.]67/flashplayer_down.php?clickid=40a5ah94pzwwj1c5
2018-07-16 -- AdobeFlashPlayer__59ce5h9wh1mwjd7e.exe -- 18[.]206[.]37[.]67/flashplayer_down.php?clickid=59ce5h9wh1mwjd7e
