First Seen,SHA256,Domain/IP,Port,Backup DNS,File Name,Startup Name,Folder Name,Data Directory Name,Backup Startup Exe,Mutex,Build ID,Enable Client Installation/Startup,Client Persistence Module: Protect Luminosity's Client Binary,Silent Mode (Hide Luminosity Window on Client PC),Proactive Anti-Malware: Clean Malicious Files and Speed up Client PC,Power Saver: Prevent Sleep Mode and Turn off Monitor after 15 minutes of inactivity,Remove File after Execution (Melt),Anti-Virtual Machines/Debugging,Hide File and Directories,Backup Startup
2015-09-02,34959a1445fbcee6c699fac86164a05173b3592556c07e912c8e5095a69d8e61,dendy39.duckdns.org,22028,Disabled,repair.exe,Mechanic,N/A,N/A,N/A,acb7b9bf191ebf6fc9bf4612dc39a218849dbbb8,HOME,No,Yes,Yes,Yes,Yes,No,No,No,No
2016-04-03,3498d08148eb6aaab7c7f2de4db1140f30b8e9a5309cfbcabc39506d122b159f,y98.no-ip.biz,1605,Disabled,Disabled,Disabled,N/A,N/A,N/A,4ff4b569275a01188d39368a5ec853254b9100c4,STABLE,No,No,Yes,Yes,Yes,No,No,No,No
2015-09-14,348898542f555b94b2a6154aeccc031dbbc1feb70af19b035e81619a1998feed,bannedsmall.no-ip.biz,4203,185.17.1.17,sysmon.exe,System Monitor,N/A,N/A,N/A,d811c8507e8344672c000854875e92320fefda82,1,No,Yes,Yes,Yes,Yes,No,No,No,No
2016-03-09,348c63f11b03edfae619d92425d3396d4f837b9add20e4465b7aaf02264c9e92,llc.win.daniel2you.com,8092,Disabled,Disabled,Disabled,N/A,N/A,N/A,f9bda8d3bfb1317d54763b213fcd22b3ab31453d,DAN2,No,Yes,No,Yes,Yes,No,No,No,No
2016-06-03,2dcb52def00f5b7dd75b7f44e9909793b423d72f56501ffe9d5d5d44a88f5ae3,tonytat.duckdns.org,777,Disabled,Server.exe,Client Monitor,Client,Monitor,clientmonitor.exe,d2fb1175a96c1fe2f8e78097fe3bfc7305785fb87f32772e1aeba97086eebc32,HOME,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes
2015-10-15,35127be6bdd3ddef6f7fc6e750b1fb2d2fa6e908ad6f727fb289cd9ce41236a7,45df36.duckdns.org,3663,Disabled,Disabled,Disabled,N/A,N/A,N/A,46eb0065973e3bedb34adf8d685bc929c3681a88,0001,No,No,Yes,Yes,Yes,No,No,No,No
2015-10-12,3513ec7d9389f5c0bd5471938852cb55182ec8e34f7e3cd18c276c5afc147347,sheyling.scieron.com,5610,img.linkswag.ga,daHost.exe,Device Association Framework,N/A,N/A,N/A,cfc4764f3bbfae7c2c155456e0ae08a61242b9ff,g4mm4,No,Yes,Yes,Yes,Yes,No,No,No,No
2015-09-03,351d101eb11687dd690333d683db6aabcb0c37258312548292dc60758cce247d,19970606.3utilities.com,6318,Disabled,webcamalice.exe,webcam alice,N/A,N/A,N/A,7433cdb324b04dd5e3c3db213381216c7c539baa,vitim,No,Yes,Yes,Yes,Yes,No,No,No,No
2015-07-17,35234b4896875e2af680c82bfc8fc04478dd29ec6561adaa8fef2cd3816631d7,keane.duckdns.org,6318,Disabled,sysmon.exe,System Monitor,N/A,N/A,N/A,122668fb64efc7f339170b5e8da878e93b12bf22,THESOLO,No,Yes,Yes,Yes,Yes,No,No,No,No
2016-05-30,352464f6e332ab5d4f2c115dd2a63bd053a8a32959557f0d1281f0d9c35377f4,62.102.148.181,54190,Disabled,chrome.exe,Java,Client,Monitor,clientmonitor.exe,6cdb3dad76a4b7e7c54564e1c4c99be378107d9c58f70f650a045c6605158fb6,1KaDay,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes
2016-03-20,352d252f0f0432959c5e5e0a1932c25a2403dc33367ad292a1f8f636ab37db93,botnet3.noip.me,1604,Disabled,helper.exe,Computer Helper,N/A,N/A,N/A,80948952d738ce0fa27f030dd5adf1b382bfb86f,HOME,No,Yes,Yes,Yes,Yes,No,No,No,No
2016-05-02,353c0d62debfc1e9b1c00610fefaa7d2ee61a8b83292b5acbbe4b8f0e57fea2f,machination.duia.in,6399,machination.dynu.com,dhcp.exe,DHCPNET,DHCPNetwork,DHCPS,dhcps.exe,af79c93e5e1c8c06b64e967668d4e99a9dac7b8c566c3c88406c387fcd746c4b,M4CHINATION,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2016-02-23,354149e9aff544183baeb371a064bf59d201ad0b2bf8f50b6a865233701967a6,village200.ddns.net,100,Disabled,windows.exe,windows update,N/A,N/A,N/A,bfae493a4a226689fc61e007fdaae6322acb3c07,HOME,No,Yes,Yes,Yes,Yes,No,No,No,No
2016-03-23,35417f7a678e5fd39a97c604f5d40ae066ffcc997503f6fe097f89b869a1c622,185.92.221.238,34507,Disabled,sysmon.exe,System Monitor,N/A,N/A,N/A,43fa9aa0dbdd926b86665c02d8dd926af5484a11,NEW,No,Yes,Yes,Yes,Yes,No,No,No,No
